# Log start time:	 Thu, 11 Jan 2024 23:49:06
# Ch1 Lower Trigger Threshold:	6000 
# Ch1 Upper Trigger Threshold:	100 
# Ch1 Offset Value:	0 
# Ch2 Lower Trigger Threshold:	6000 
# Ch2 Upper Trigger Threshold:	100 
# Ch2 Offset Value:	0 
#          x     theta      time    ch1 counts    ch2 counts    coincidences

# Lateral Reset
# Rotational Reset
        1400,        0,       10,         3992,         9439,             56
        2400,        0,       10,         3878,         9565,             56
        3400,        0,       10,         3836,         9602,             52
        4400,        0,       10,         3969,         9615,             43
        5400,        0,       10,         4018,         9663,             39
        6400,        0,       10,         3715,         9777,             49
        7400,        0,       10,         4061,        10035,             43
        8400,        0,       10,         4006,         9947,             48
        9400,        0,       10,         3898,        10080,             47
       10400,        0,       10,         3937,         9965,             47
       11400,        0,       10,         3915,        10243,             49
       12400,        0,       10,         3913,        10198,             60
       13400,        0,       10,         4058,        10274,             53
       14400,        0,       10,         3971,        10454,             54
       15400,        0,       10,         4112,        10478,             56
       16400,        0,       10,         4091,        10492,             48
       17400,        0,       10,         4009,        10545,             44
       18400,        0,       10,         4023,        10582,             40
       19400,        0,       10,         4072,        10654,             58
       20400,        0,       10,         3958,        10797,             55
       21400,        0,       10,         4173,        10787,             57
       22400,        0,       10,         4139,        10865,             59
       23400,        0,       10,         4311,        11003,             50
       24400,        0,       10,         3918,        10951,             55
       25400,        0,       10,         4162,        10962,             55
       26400,        0,       10,         4121,        11023,             55
       27400,        0,       10,         4050,        11241,             56
       28400,        0,       10,         3997,        11168,             52
       29400,        0,       10,         4159,        11253,             50
       30400,        0,       10,         4203,        11300,             63
       31400,        0,       10,         4137,        11319,             67
       32400,        0,       10,         4092,        11590,             61
       33400,        0,       10,         4278,        11499,             96
       34400,        0,       10,         4198,        11681,            128
       35400,        0,       10,         4064,        11638,            134
       36400,        0,       10,         4220,        11534,            155
       37400,        0,       10,         4218,        11788,            156
       38400,        0,       10,         4063,        11549,            141
       39400,        0,       10,         4185,        11585,            154
       40400,        0,       10,         4154,        11455,            141
       41400,        0,       10,         4257,        11683,            165
       42400,        0,       10,         4080,        11790,            179
       43400,        0,       10,         4333,        11818,            184
       44400,        0,       10,         4310,        11702,            211
       45400,        0,       10,         4213,        11829,            216
       46400,        0,       10,         4281,        11642,            180
       47400,        0,       10,         4287,        11675,            196
       48400,        0,       10,         4257,        11732,            192
       49400,        0,       10,         4114,        11665,            182
       50400,        0,       10,         4203,        11592,            131
       51400,        0,       10,         4192,        11478,            145
       52400,        0,       10,         4085,        11562,            103
       53400,        0,       10,         4004,        11570,             69
       54400,        0,       10,         4101,        11610,             58
       55400,        0,       10,         4078,        11475,             48
       56400,        0,       10,         4109,        11437,             52
       57400,        0,       10,         4176,        11488,             69
       58400,        0,       10,         4173,        11272,             69
       59400,        0,       10,         4065,        11393,            105
       60400,        0,       10,         4066,        11548,            131
       61400,        0,       10,         4191,        11549,            145
       62400,        0,       10,         4294,        11379,            188
       63400,        0,       10,         4088,        11389,            189
       64400,        0,       10,         4256,        11302,            202
       65400,        0,       10,         4167,        11181,            195
       66400,        0,       10,         4054,        11201,            170
       67400,        0,       10,         4088,        11152,            153
       68400,        0,       10,         4195,        11169,            139
       69400,        0,       10,         4208,        11038,            110
       70400,        0,       10,         4013,        10935,             64
       71400,        0,       10,         4246,        10913,             54
       72400,        0,       10,         4185,        10786,             65
       73400,        0,       10,         4155,        10782,             55
       74400,        0,       10,         4065,        10892,             60
       75400,        0,       10,         4180,        10772,             63
       76400,        0,       10,         4149,        10831,             65
       77400,        0,       10,         4116,        10486,             56
       78400,        0,       10,         4008,        10576,             41
       79400,        0,       10,         4084,        10506,             68
       80400,        0,       10,         4105,        10479,             50
       81400,        0,       10,         3998,        10428,             53
       82400,        0,       10,         4078,        10393,             44
       83400,        0,       10,         4072,        10147,             47
       84400,        0,       10,         4083,        10009,             69
       85400,        0,       10,         4025,        10094,             38
       86400,        0,       10,         4047,        10128,             49
       87400,        0,       10,         4122,        10034,             53
       88400,        0,       10,         3839,         9886,             43
       89400,        0,       10,         4082,         9820,             48
       90400,        0,       10,         4046,         9785,             43
# Lateral Reset
        1400,      570,       10,        39705,        10258,            143
        2400,      570,       10,        39830,        10416,            132
        3400,      570,       10,        39521,        10452,            116
        4400,      570,       10,        40569,        10540,            119
        5400,      570,       10,        40512,        10726,            124
        6400,      570,       10,        40566,        10811,            139
        7400,      570,       10,        39618,        10746,            137
        8400,      570,       10,        39622,        11093,            150
        9400,      570,       10,        39516,        10966,            154
       10400,      570,       10,        39486,        11106,            126
       11400,      570,       10,        39345,        11109,            167
       12400,      570,       10,        39573,        11228,            152
       13400,      570,       10,        39265,        11411,            157
       14400,      570,       10,        39349,        11312,            151
       15400,      570,       10,        39336,        11522,            139
       16400,      570,       10,        39162,        11511,            179
       17400,      570,       10,        39438,        11720,            143
       18400,      570,       10,        39501,        11500,            166
       19400,      570,       10,        39365,        11608,            150
       20400,      570,       10,        39411,        11665,            143
       21400,      570,       10,        39458,        11776,            141
       22400,      570,       10,        39246,        11956,            147
       23400,      570,       10,        39295,        11868,            165
       24400,      570,       10,        39695,        12031,            137
       25400,      570,       10,        39434,        11998,            158
       26400,      570,       10,        39253,        12082,            132
       27400,      570,       10,        39408,        12317,            174
       28400,      570,       10,        39299,        12216,            151
       29400,      570,       10,        39477,        12332,            173
       30400,      570,       10,        39229,        12145,            221
       31400,      570,       10,        39719,        12171,            257
       32400,      570,       10,        39243,        12154,            253
       33400,      570,       10,        39582,        12352,            297
